,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
24,329.5307362293329,487.45713878924863,488.9975132851139,351.2445032623605,2,14,13,11
25,317.06583504546086,464.41337480969145,467.51233474104095,320.2519432401809,1,13,13,12
26,276.8498133395277,472.23944861960024,481.4993393690205,359.1040581895561,5,15,16,11
27,261.6608894908637,436.94149977112943,440.5433419947916,300.0824971457265,5,16,16,11
28,298.8995102699499,453.64513639479287,453.64513639479287,440.3213065573816,7,12,12,5
29,265.23958462225823,446.85252504654227,450.6074571654872,402.1120046843455,5,15,15,10
30,284.60964404940495,436.78472112200944,445.26505171303404,491.3352181064628,8,16,16,8
31,223.22526882529667,470.328298756545,479.971787802628,258.52084598032485,3,20,20,17
32,194.84586587706318,431.1989528344146,436.97875796318874,304.56042286473524,10,20,20,10
33,290.99369608341726,446.873816235638,446.87381623563795,377.4367718090301,4,17,17,13
34,267.3952910187101,488.8200625774316,497.14793638822584,333.7156324046442,4,16,17,13
35,216.45499400287665,415.95164319685193,420.22557650428547,247.89117466022338,3,17,18,15
36,283.24340496038843,459.1075610767885,460.88185936736556,319.0025236617381,2,16,15,13
37,284.7924594234258,423.1853649992212,426.76443214081814,405.3378181958849,6,15,16,10
38,380.43207020324326,471.3599073089157,472.57425137897724,380.4320702032433,0,11,11,11
39,320.3846374552146,456.0410475889961,458.99523958167,320.2388428615874,1,14,14,13
40,239.93535719613612,418.56213415397593,424.0411092255052,284.97798497604606,4,18,19,15
41,273.6661217397327,448.39518969636765,454.0411282239007,440.9938486853132,7,16,14,7
42,276.97787850087013,468.2536346838817,476.17301814363327,355.5520625022734,4,15,15,11
43,219.348646364253,418.59863938123465,435.7200854113498,284.9859272604958,5,18,18,13
44,319.39800173503966,473.28290971550405,491.4198101208316,377.53510380013654,3,14,16,13
