,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fairness NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fairbess NOMA Pairs,Fixed NOMA Outage
0,226.21903098649688,353.96776281362895,356.1015914375232,233.92574695842242,164.3316673408777,2,12,12,4,26
1,163.73089582293352,390.2064021271373,391.93137254243095,213.6505535377606,197.8255094652512,6,18,18,6,31
2,212.07360360517373,382.32743959375676,382.32743959375676,337.5616989639875,215.60578825102027,6,18,18,9,28
3,221.95538439990654,404.1359675149022,404.1359675149022,237.23641621116911,219.5732496634576,2,15,15,9,29
4,255.7804670298949,371.33622451669567,371.3362245166957,282.00076823308757,255.833364035446,2,10,10,3,30
5,255.7804670298949,371.33622451669567,371.3362245166957,282.00076823308757,255.833364035446,2,10,10,3,30
6,259.0797916699949,433.56602483758905,433.56602483758905,279.38370813953713,229.18301122196425,2,14,14,5,32
7,244.05894888087343,457.0897673194821,457.0897673194821,275.11762055904074,245.61396593746684,3,16,16,3,35
8,302.7790762284121,459.54118807263274,459.54118807263274,316.89126945754634,247.5314843331008,3,13,13,8,27
9,227.76744829799776,425.76121918313686,425.76121918313686,265.5345088435187,223.56121939847918,2,14,14,6,31
10,227.76744829799776,425.76121918313686,425.76121918313686,265.5345088435187,223.56121939847918,2,14,14,6,31
11,308.8678961010743,453.2337703568795,453.2337703568796,324.67962106603386,308.3848535578726,2,14,14,3,34
12,279.33948156572535,406.84417982604634,406.84417982604634,285.1177454975996,230.03712790551694,3,13,13,7,28
13,293.29747752284436,411.3804534304161,411.3804534304161,314.44811990389985,222.14518027371997,3,13,13,5,30
14,269.63527298837414,367.15754341900896,367.15754341900896,271.8817149351017,237.1827909449666,1,12,12,5,31
15,197.2790627259146,374.7443550142273,374.7443550142273,340.92112153103164,225.13904111117682,7,16,16,11,23
16,284.8209399297007,423.3749962467949,424.6526061830323,339.22209804278646,216.77150848012963,4,13,13,9,25
17,223.6386222521272,403.8076344407465,403.8076344407465,260.8641319808048,150.730301012611,3,13,13,6,29
18,271.9078089477117,428.2561731866708,428.2561731866708,332.67532205171483,258.2947162670345,4,17,17,6,32
19,229.4302067292271,415.5258272728856,417.6560671727193,267.76468726404244,258.9777633436337,4,18,18,12,27
20,209.13075458149623,371.70014657285924,371.7001465728593,298.65968359237735,170.02969427644763,4,16,16,12,25
21,273.39961431355306,425.8172583814731,425.8172583814731,296.887916623489,225.83519659974834,2,12,12,5,30
22,273.39961431355306,425.8172583814731,425.8172583814731,296.887916623489,225.83519659974834,2,12,12,5,30
23,248.11417993923462,421.36442548666776,421.82453302596014,310.56242591822354,226.3142321136435,2,15,15,4,34
24,242.42543514618643,403.7511578870083,403.7511578870082,287.1075683563642,212.0609818285571,5,13,13,7,26
25,235.93260333953856,410.12864126033867,410.12864126033867,329.7189724299527,231.00327720329255,4,15,15,6,30
26,175.2509459968049,374.0620593198767,374.0620593198767,207.7244365446162,184.10381993470818,4,17,17,7,31
27,175.2509459968049,374.0620593198767,374.0620593198767,207.7244365446162,184.10381993470818,4,17,17,7,31
28,199.59340184632856,374.85456880591653,375.2804522729472,207.41416326763974,220.25200061564752,3,16,17,6,33
29,282.0163882177212,409.5400092640793,409.5400092640793,309.8918688950765,292.5799362955041,4,13,13,6,28
30,257.0564138651184,365.4485680037733,365.4485680037733,303.6067498772604,200.155301625224,4,11,11,8,24
31,257.0564138651184,365.4485680037733,365.4485680037733,303.6067498772604,200.155301625224,4,11,11,8,24
32,222.1263943223496,424.72095266527094,427.9278406015857,294.17487654280376,252.29708671265894,8,14,15,15,17
33,238.19964782854885,409.37851252321383,409.37851252321383,299.86426333317394,274.487916759639,4,14,14,8,27
34,215.97704353687985,385.15396122269595,386.9243819975785,266.7362760266848,203.32592259369628,4,14,14,6,29
35,189.23954565140278,418.65303814466296,419.68645275768654,235.6180567575854,171.2190184640515,3,18,18,6,34
36,189.23954565140278,418.65303814466296,419.68645275768654,235.6180567575854,171.2190184640515,3,18,18,6,34
37,206.55035925974443,400.22780877817877,400.22780877817877,247.36680732012684,186.43979369167704,5,16,16,9,27
38,206.55035925974443,400.22780877817877,400.22780877817877,247.36680732012684,186.43979369167704,5,16,16,9,27
39,270.964950949771,410.3943867895011,410.8201581562448,369.49256492065757,212.6048679032163,5,12,13,7,26
40,270.964950949771,410.3943867895011,410.8201581562448,369.49256492065757,212.6048679032163,5,12,13,7,26
41,258.04968379006124,364.54457506137015,364.6476146188949,322.2655587853378,192.23748321165715,4,12,13,7,27
42,258.04968379006124,364.54457506137015,364.6476146188949,322.2655587853378,192.23748321165715,4,12,13,7,27
43,290.8130209394404,433.88429639237995,433.88429639237995,343.61567253201457,239.88158147302943,5,11,11,10,21
44,290.8130209394404,433.88429639237995,433.88429639237995,343.61567253201457,239.88158147302943,5,11,11,10,21
45,256.40536778057105,416.08835289125864,418.5623673553365,288.3569656760013,205.58273987036665,3,15,14,7,29
46,256.40536778057105,416.08835289125864,418.5623673553365,288.3569656760013,205.58273987036665,3,15,14,7,29
47,253.7686268822424,354.5223924621355,354.5223924621355,309.84654868431085,259.6043682004781,1,10,10,5,29
48,227.93411893618557,416.9446081232543,416.9446081232543,291.8664998748807,198.72480774608167,4,16,16,7,30
49,240.05702613252507,389.9071756299439,389.9071756299439,302.53861932124613,131.97213703636433,4,13,13,9,25
50,260.43413543923384,385.85103544175104,386.0199203276402,385.26572511949905,205.10915067798544,4,12,11,8,24
51,210.05710523433095,396.77034716055323,396.77034716055323,215.00638597890065,187.2069199547597,2,13,13,6,30
52,241.45473669030298,383.944542238381,385.4895365631886,270.3818254805098,211.5832202807475,2,14,15,7,31
53,218.63213024610383,361.41909068918176,361.41909068918176,286.56913696579284,193.06568223646445,4,15,15,13,23
54,218.63213024610383,361.41909068918176,361.41909068918176,286.56913696579284,193.06568223646445,4,15,15,13,23
55,301.2492142141362,399.4193973863604,399.4193973863604,375.0255284199762,162.10906245323324,4,12,12,9,24
56,268.5640736690285,421.48581106262446,425.78803016254227,351.8866721458884,234.5400369991134,6,16,16,9,26
57,282.7409264689231,394.4829230648769,394.4829230648769,356.90119589689806,233.10439519274058,4,11,11,9,23
58,293.5358130922867,430.69552831763133,430.9401523428376,352.9754098325209,275.98206031936024,4,11,12,9,24
59,228.71102507417285,382.9198015447174,382.9198015447174,296.7013455969528,188.06359646079483,3,14,14,5,31
60,266.34252254427827,416.71870262120655,416.7187026212066,356.1325913142462,240.40876224796025,4,10,10,7,24
61,266.34252254427827,416.71870262120655,416.7187026212066,356.1325913142462,240.40876224796025,4,10,10,7,24
62,266.34252254427827,416.71870262120655,416.7187026212066,356.1325913142462,240.40876224796025,4,10,10,7,24
63,266.34252254427827,416.71870262120655,416.7187026212066,356.1325913142462,240.40876224796025,4,10,10,7,24
64,266.34252254427827,416.71870262120655,416.7187026212066,356.1325913142462,240.40876224796025,4,10,10,7,24
65,219.15981530537886,422.61584962285576,425.5505479535418,333.8522939255372,147.93456207941279,5,16,16,10,26
66,238.94745356010503,404.27648956116366,409.2887580964,321.1436651755171,215.73801363392312,6,15,15,8,26
67,238.94745356010503,404.27648956116366,409.2887580964,321.1436651755171,215.73801363392312,6,15,15,8,26
68,232.79552688735328,387.5072152486505,387.90937676137406,282.654699330652,218.689221541223,4,17,16,10,27
69,202.23709003566898,346.1729047622259,346.3047800891396,250.4863812182678,161.43070455281918,5,12,13,8,25
70,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
71,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
72,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
73,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
74,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
75,203.37677946879276,370.03562629194596,370.03562629194596,284.68137324239626,207.75694889214333,4,14,14,8,27
76,247.50259448124982,389.4678166314545,389.4678166314545,248.35941489492964,269.61561335646286,1,12,12,6,30
77,191.22796410056765,407.64339391311637,407.64339391311637,240.00734491248085,168.23751537959743,5,15,15,6,29
78,304.3558270599863,414.7078996462118,415.8337415733662,337.55661987141286,248.24350617631882,3,12,13,9,26
79,293.0360710751865,436.73495038640885,436.8820022575286,378.135782518791,144.63153906346182,6,14,13,9,23
80,245.8859224989968,402.899431494453,402.9715499905477,299.1149874584151,138.54920210021496,3,10,10,9,23
81,233.8262564682731,384.2504825121323,384.2504825121323,264.49076766811675,243.265999975515,3,10,10,8,24
82,233.8262564682731,384.2504825121323,384.2504825121323,264.49076766811675,243.265999975515,3,10,10,8,24
83,233.8262564682731,384.2504825121323,384.2504825121323,264.49076766811675,243.265999975515,3,10,10,8,24
84,233.8262564682731,384.2504825121323,384.2504825121323,264.49076766811675,243.265999975515,3,10,10,8,24
85,233.8262564682731,384.2504825121323,384.2504825121323,264.49076766811675,243.265999975515,3,10,10,8,24
86,293.1636076840829,401.09768251437947,401.09768251437947,294.08747051134765,312.894498529662,1,10,10,4,30
87,287.82978626227737,433.78070754684114,433.78070754684114,384.3565417643275,187.14643939599733,7,14,14,10,22
88,287.82978626227737,433.78070754684114,433.78070754684114,384.3565417643275,187.14643939599733,7,14,14,10,22
89,287.82978626227737,433.78070754684114,433.78070754684114,384.3565417643275,187.14643939599733,7,14,14,10,22
90,245.81378664643137,420.33485724810623,423.26165259129016,259.5800411951716,203.23872625655287,3,14,15,8,29
91,245.81378664643137,420.33485724810623,423.26165259129016,259.5800411951716,203.23872625655287,3,14,15,8,29
92,245.81378664643137,420.33485724810623,423.26165259129016,259.5800411951716,203.23872625655287,3,14,15,8,29
93,224.64894943823273,422.2164173672012,422.2164173672012,278.9525163960216,209.95263493537402,5,13,13,7,26
94,224.64894943823273,422.2164173672012,422.2164173672012,278.9525163960216,209.95263493537402,5,13,13,7,26
95,165.0684593124224,363.7942310607509,366.0628783546119,175.31624383581584,140.1224245386539,3,17,17,5,34
96,239.23732277601502,389.2151639947251,389.2151639947251,296.61297815080684,177.58052061008368,4,11,11,9,23
97,294.56384777820927,381.89515166158515,382.51712010157814,309.1065367254197,248.85122913241463,4,10,11,8,24
98,294.56384777820927,381.89515166158515,382.51712010157814,309.1065367254197,248.85122913241463,4,10,11,8,24
99,246.73560396738523,408.2391692503421,408.23916925034206,263.0743447353614,196.2302241293337,4,12,12,7,26
100,256.79562329402927,406.93633460281535,406.93633460281535,303.3362425153115,206.5369051010968,4,9,9,6,24
101,193.25163148594953,421.38333066280177,421.38333066280177,269.14895471445806,250.06050491713205,5,17,17,8,29
102,266.15406110397,433.8958714853311,433.8958714853311,274.014581672422,243.34061416748114,3,13,13,5,30
103,266.15406110397,433.8958714853311,433.8958714853311,274.014581672422,243.34061416748114,3,13,13,5,30
104,266.15406110397,433.8958714853311,433.8958714853311,274.014581672422,243.34061416748114,3,13,13,5,30
105,283.2928659678723,383.96253033638993,383.96253033638993,304.0788529792791,207.4516116679319,3,11,11,10,23
106,283.2928659678723,383.96253033638993,383.96253033638993,304.0788529792791,207.4516116679319,3,11,11,10,23
107,283.2928659678723,383.96253033638993,383.96253033638993,304.0788529792791,207.4516116679319,3,11,11,10,23
108,269.3320565647171,391.25127660460487,391.25127660460487,299.8460467226857,191.52955366558518,1,11,11,6,29
109,223.88157211736558,428.55025213694233,428.8383390826299,299.3369596004297,170.58711885556772,5,15,14,9,25
110,223.88157211736558,428.55025213694233,428.8383390826299,299.3369596004297,170.58711885556772,5,15,14,9,25
111,223.88157211736558,428.55025213694233,428.8383390826299,299.3369596004297,170.58711885556772,5,15,14,9,25
112,223.88157211736558,428.55025213694233,428.8383390826299,299.3369596004297,170.58711885556772,5,15,14,9,25
113,227.00819629714482,385.3863951886202,385.38639518862027,257.95152886086265,158.91238129964333,1,13,13,7,30
114,227.00819629714482,385.3863951886202,385.38639518862027,257.95152886086265,158.91238129964333,1,13,13,7,30
115,227.00819629714482,385.3863951886202,385.38639518862027,257.95152886086265,158.91238129964333,1,13,13,7,30
116,221.17582112691025,421.4696496437466,421.4696496437466,267.4289290475755,248.3431625556288,3,16,16,6,32
117,246.29100698602397,404.702549971342,404.75482843463226,248.89264798189296,241.66917501901645,3,13,14,7,29
118,246.29100698602397,404.702549971342,404.75482843463226,248.89264798189296,241.66917501901645,3,13,14,7,29
119,233.35228163468477,399.79852775328754,399.79852775328754,344.8643549456112,224.80486800130222,5,14,14,10,24
120,214.08027836094064,419.7537656009769,419.75376560097686,269.2770237483594,233.9269874445573,5,15,15,8,27
121,214.08027836094064,419.7537656009769,419.75376560097686,269.2770237483594,233.9269874445573,5,15,15,8,27
122,202.23652849781257,400.37051652918194,400.499851920525,217.58087567927222,216.20903623503324,3,16,17,8,31
123,211.53389274988217,363.67204628576474,363.67204628576474,214.43143855644908,171.85646105997827,2,13,13,7,29
124,211.53389274988217,363.67204628576474,363.67204628576474,214.43143855644908,171.85646105997827,2,13,13,7,29
125,234.26677525983732,387.03015012403137,387.03015012403137,259.8843755716582,184.92663418672458,2,12,12,9,26
126,234.26677525983732,387.03015012403137,387.03015012403137,259.8843755716582,184.92663418672458,2,12,12,9,26
127,234.26677525983732,387.03015012403137,387.03015012403137,259.8843755716582,184.92663418672458,2,12,12,9,26
128,234.26677525983732,387.03015012403137,387.03015012403137,259.8843755716582,184.92663418672458,2,12,12,9,26
129,234.26677525983732,387.03015012403137,387.03015012403137,259.8843755716582,184.92663418672458,2,12,12,9,26
