,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fixed NOMA Outage
0,159.3418384932694,288.90659363517057,288.90659363517057,231.20786536457808,3,10,10,7
1,159.3418384932694,288.90659363517057,288.90659363517057,231.20786536457808,3,10,10,7
2,207.73192984778612,293.41826206790915,295.7173828392645,269.32012940498055,3,8,8,5
3,125.06284910053853,272.8854943986124,279.3775340795363,127.49893991269627,1,12,12,11
4,202.50752984666664,260.86613178929804,261.42496554983813,236.84572792934566,2,6,7,5
5,139.68328254683345,293.03575435641756,301.75234704690405,162.5061020505711,2,11,11,9
6,125.98225158861823,254.13743864174623,255.0209356895905,165.3329577299967,2,11,11,9
7,182.17393008854157,278.73091073366805,280.15403961968264,188.42000437464534,1,10,10,9
8,203.67832157248688,306.35179251325224,306.35179251325224,249.7752950919186,2,8,8,6
9,193.30658934855214,288.5931731137639,289.25624090608824,237.58237428834815,1,8,8,7
10,163.51195224873115,241.0138565339065,246.2988618940197,248.2829946479084,5,9,10,5
11,124.21855466360736,279.1920614059612,287.14506360240955,237.68965519929677,6,12,12,6
12,120.58144602259006,279.2335628150011,288.2663337569676,192.3189244408188,4,11,13,9
13,132.45393407544236,245.03522209651388,245.94127402552527,134.4422175086821,1,9,10,9
14,169.92302722365196,250.12358684487256,251.25109098702535,250.56822847115177,2,9,9,7
15,159.97813190793818,291.30510511002643,291.30510511002643,298.87108381706093,5,10,10,5
16,239.279016790131,277.61211340678074,277.61211340678074,239.279016790131,0,4,4,4
17,190.0443946177825,292.19857029952385,292.1985702995238,205.0314500199523,1,8,8,7
18,183.20641203108195,273.77086160191425,273.77086160191425,216.0977486741684,2,7,7,5
19,168.28136004005083,299.77054612532515,299.77054612532515,182.874796828041,1,8,8,7
20,170.05754989545088,282.8543567017605,284.29214932286783,170.2796469884887,1,10,10,9
21,171.35282237541838,267.041223656503,267.041223656503,225.08742013271166,1,6,6,5
22,221.0864414749346,315.2563749497816,318.6367838701558,267.926487087788,2,8,8,6
23,196.3551078327052,290.09625824450586,290.09625824450586,196.76786050134262,1,9,9,8
24,159.6120135101582,303.5107849140329,303.5107849140329,283.46918699830593,4,10,10,6
25,192.53789024119794,289.4862454261592,289.4862454261592,230.31421400571259,3,8,8,5
26,167.3375647879645,264.27313827433596,274.54931470899743,213.9437123766636,3,9,11,8
27,170.8190434166263,267.5112292488893,270.2938038553706,184.54331615021815,1,8,9,8
28,211.20590989868572,293.81356674148844,293.8135667414884,226.03818935010176,1,5,5,4
29,141.111280959096,274.19024576920094,279.51430109025307,208.68129718170755,3,12,12,9
30,140.63503237135677,271.5090520879095,274.96743100430194,225.4328371778176,3,11,11,8
31,134.78020620105417,275.70204555201013,286.6359460408633,244.55227646226953,5,11,11,6
32,160.88256076362276,302.4056003843301,306.9076495647121,276.00156962240715,6,11,10,4
33,166.32500186277554,292.59423320907547,299.11170019807537,262.13535931837015,3,11,10,7
34,171.62083446954523,272.4441564785696,272.4441564785696,183.3443130529561,2,10,10,8
35,127.99382869567455,269.233316944446,278.9710578757389,160.4438031942214,3,11,11,8
36,147.67706651215082,291.84105252523545,299.4908301906251,190.286351156325,4,10,11,7
37,166.05214332056568,288.6207358386323,288.6207358386323,263.7419048006494,5,10,10,5
38,157.00806392162798,277.5955558940251,278.6093367590567,157.008063921628,0,10,10,10
39,221.035869886096,271.9050784196533,273.3247607765726,235.2276825913123,3,6,5,2
40,124.94822507505296,276.46791729282074,279.28675336044125,152.00912319508865,4,12,12,8
