,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
2,91.30041961850142,98.61207327420237,91.30041961850142,0,1,1
3,70.87586074372751,83.98084705308324,70.87586074372751,0,2,2
4,45.496866083399084,77.27896855919974,61.606743296100966,2,4,2
5,45.496866083399084,77.27921421560202,63.22067013402001,2,4,2
6,47.63180519000591,68.49542342462334,55.82138581068236,1,2,1
7,66.05918735879266,81.89925040263549,66.05918735879267,0,1,1
8,66.05918735879266,81.89925040263549,66.05918735879267,0,1,1
9,49.024901785917685,74.37567743135568,49.02490178591768,0,2,2
10,46.544886180869035,75.47244203498275,69.44866460827976,1,3,2
11,46.544886180869035,75.47244203498275,69.44866460827976,1,3,2
12,59.123488331641134,64.22613682318209,78.48605428795359,1,1,0
13,84.37788391019994,90.46706349627723,84.37788391019994,0,1,1
14,84.37788391019994,90.46706349627723,84.37788391019994,0,1,1
15,81.10833320799199,92.58220494074412,96.44686854468728,1,2,1
16,35.18485163606221,74.1394469199849,62.5617852495266,2,4,2
17,35.18485163606221,73.58902677630527,59.06059555274201,1,4,3
18,80.58444065862332,97.49793742560723,94.96669951223646,1,2,1
19,30.281878545434175,31.89077034087265,30.281878545434175,0,2,2
20,30.281878545434175,31.89077034087265,30.281878545434175,0,2,2
21,42.525862996439976,68.82611588922353,55.10229958505076,1,2,1
22,43.340211158092984,69.25031008949281,43.340211158092984,0,2,2
23,43.340211158092984,69.25031008949281,43.340211158092984,0,2,2
24,111.73266759149072,114.63096803131342,111.73266759149072,0,1,1
25,111.73266759149072,114.63096803131342,111.73266759149072,0,1,1
26,60.76307723075397,66.72661378317633,60.76307723075397,0,1,1
27,49.628767504764426,82.04740083556756,80.75298757008557,1,2,1
28,31.42249879996157,33.77730324096418,41.08628155884111,1,1,0
29,31.42249879996157,33.77730324096418,41.08628155884111,1,1,0
30,47.28164079243764,52.43807678303757,59.03409003935167,1,1,0
31,47.28164079243764,52.43807678303757,59.03409003935167,1,1,0
32,67.58001419644597,63.67718608062741,67.58001419644597,0,2,2
33,60.54664564599208,66.68490040066685,69.97534259084108,1,2,1
34,60.54664564599208,66.68490040066685,69.97534259084108,1,2,1
35,30.92574073085628,34.792328485026246,38.769327713565865,1,1,0
36,42.81407057824877,69.90410646916965,42.81407057824877,0,3,3
37,42.81407057824877,69.90410646916965,42.81407057824877,0,3,3
38,30.661513117877863,68.3678874697267,73.7822243336978,2,2,0
39,49.82412065300349,70.62951642513227,79.57333376691844,2,2,0
40,49.82412065300349,70.62951642513227,79.57333376691844,2,2,0
41,64.96367088497419,83.29658590552339,64.96367088497419,0,1,1
42,32.83569709268109,81.61177335324538,54.55592137962636,1,2,1
43,32.83569709268109,81.61177335324538,54.55592137962636,1,2,1
44,18.407121095697146,30.03325947796576,20.965602565656244,1,2,1
