,OMA Sum rate,Architecture Sum rate,Baseline Sum rate,Fixed NOMA Sum rate,Fairness NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Baseline NOMA Pairs,Fairbess NOMA Pairs,Fixed NOMA Outage
175,203.6353324434093,323.26190873553696,324.9871747712241,248.88479752240727,166.33773575375366,3,11,11,6,22
176,203.6353324434093,323.26190873553696,324.9871747712241,248.88479752240727,166.33773575375366,3,11,11,6,22
177,203.6353324434093,323.26190873553696,324.9871747712241,248.88479752240727,166.33773575375366,3,11,11,6,22
178,200.3398876406241,292.86615270716186,292.86615270716186,292.65614545453565,150.5681381175016,5,9,9,9,15
179,200.3398876406241,292.86615270716186,292.86615270716186,292.65614545453565,150.5681381175016,5,9,9,9,15
180,200.3398876406241,292.86615270716186,292.86615270716186,292.65614545453565,150.5681381175016,5,9,9,9,15
181,222.59744459778062,334.35901522117706,338.1347599267412,232.79422410049648,217.64186915473482,2,10,10,6,22
182,222.59744459778062,334.35901522117706,338.1347599267412,232.79422410049648,217.64186915473482,2,10,10,6,22
183,222.59744459778062,334.35901522117706,338.1347599267412,232.79422410049648,217.64186915473482,2,10,10,6,22
184,159.94067486322592,314.65564867923365,314.65564867923365,235.8020533150065,202.3033318221025,5,15,15,6,24
185,159.94067486322592,314.65564867923365,314.65564867923365,235.8020533150065,202.3033318221025,5,15,15,6,24
186,159.94067486322592,314.65564867923365,314.65564867923365,235.8020533150065,202.3033318221025,5,15,15,6,24
187,148.36071347229904,350.17498769574456,352.0675183880553,210.77908890330463,198.41976496282453,6,15,15,8,20
188,237.40039087532915,350.3716293568468,353.8011846827831,288.74784760455793,192.84054350051983,3,10,11,7,21
189,237.40039087532915,350.3716293568468,353.8011846827831,288.74784760455793,192.84054350051983,3,10,11,7,21
190,174.41058985009013,315.7000644369486,315.7000644369486,184.3450935641997,130.37511146417168,2,13,13,5,26
191,224.4689389521838,353.04898531318906,353.04898531318906,317.6575771011319,209.6640422377214,3,14,14,7,24
192,224.4689389521838,353.04898531318906,353.04898531318906,317.6575771011319,209.6640422377214,3,14,14,7,24
193,224.4689389521838,353.04898531318906,353.04898531318906,317.6575771011319,209.6640422377214,3,14,14,7,24
194,198.30682727038663,308.8446801530839,310.9724537586568,245.77147883291872,134.57155866993116,5,11,11,10,16
195,198.30682727038663,308.8446801530839,310.9724537586568,245.77147883291872,134.57155866993116,5,11,11,10,16
196,182.2212369968171,298.91690728909214,301.14730904441467,213.10084908542106,169.4732700724149,3,13,13,7,23
197,226.21903098649688,353.96776281362895,356.1015914375232,233.92574695842242,164.3316673408777,2,12,12,4,26
198,226.21903098649688,353.96776281362895,356.1015914375232,233.92574695842242,164.3316673408777,2,12,12,4,26
199,226.21903098649688,353.96776281362895,356.1015914375232,233.92574695842242,164.3316673408777,2,12,12,4,26
