,OMA Sum rate,Architecture Sum rate,Fixed NOMA Sum rate,Fixed NOMA Pairs,NOMA Pairs,Fixed NOMA Outage
0,217.39119114600084,279.7812278585153,265.48512724303754,4,7,3
1,217.39119114600084,284.29411549933957,263.73042156474537,4,8,4
2,217.39119114600084,295.2327612978604,283.73043264055894,5,8,3
3,217.39119114600084,284.3977228502223,262.12099006257847,4,8,4
4,217.39119114600084,285.47498794859376,277.1484044619769,5,8,3
5,217.39119114600084,284.33702823936613,263.8756957408706,4,8,4
6,143.68913851231378,172.47391861330038,179.5702224989178,3,4,1
7,143.68913851231378,172.26357788761626,187.80392770451652,3,4,1
8,135.95805864711002,189.1886381150961,167.44128428715993,3,8,5
9,135.95805864711002,189.1886381150961,167.44128428715993,3,8,5
10,113.01291902530937,154.45707343747347,135.0518214566874,1,5,4
11,113.01291902530937,154.45707346504486,136.60307193410034,1,5,4
12,107.78224368373333,180.36838295292907,169.46859336135728,3,7,4
13,107.78224368373333,180.36838295292907,169.46859336135728,3,7,4
14,107.78224368373333,180.36838295292907,169.46859336135728,3,7,4
15,94.43856470212272,134.29819936296738,143.60885718137868,4,4,0
16,126.23395090365614,182.21838497649074,157.99930869176893,5,6,1
17,126.23395090365614,182.18587883645066,157.99930869176893,5,6,1
18,104.42903164359123,144.9718312136257,104.42903164359123,0,4,4
19,171.2681044779558,184.22790122490616,181.8939611339748,2,6,4
20,176.38242583496216,178.48327243143078,176.38242583496213,0,2,2
21,176.38242583496216,178.48327243143078,176.38242583496213,0,2,2
22,116.63417608371385,202.01383760178481,143.71842931850844,4,8,4
23,114.68016230774421,156.752652211844,166.40221804830213,4,5,1
24,114.68016230774421,141.01614633476845,149.0969818708298,3,4,1
25,127.85333737237252,183.79362078995067,134.77157279549198,1,5,4
26,143.55384816538648,178.7863089158553,198.6092553527306,3,5,2
27,117.88061566010848,190.22369169195144,187.42005567752935,5,7,2
28,117.88061566010848,190.22369169195144,187.42005567752935,5,7,2
29,146.61154941170523,178.68975770537008,165.2212912543925,1,3,2
30,146.61154941170523,178.68975770537008,165.2212912543925,1,3,2
31,153.52093134997244,208.06991821812673,161.61865350919334,1,4,3
